RELATÓRIO DE OCORRÊNCIAS - CIOSP - JANEIRO/2026 - SESP/MT

Núm. B.O.;Data / Hora da Ocorrência;Bairro / Região;Tipo de Ocorrência;Qtd Vítimas;Idade da Vítima;Valor Apreendido (R$)
BO-2026-00070;24/01/2026 00:49;CPA ;Furto ;0;;0,00
BO-2026-00011;04/01/2026 07:34;CPA;LESAO CORPORAL;1;-3;
BO-2026-00092;04/01/2026;Coxipó;Roubo;;;
BO-2026-00120;12/01/2026 06:48;CPA ;Lesao corporal;1;58;-
BO-2026-00046;02/01/2026 22:37;Ctr;tráfico de drogas;;;R$ 17.801,00
BO-2026-00054;07/01/2026 14:55;CPA ;LESAO CORPORAL;2;27;0,00
BO-2026-00105;19/01/2026 21:01;CENTRO;tráfico de drogas;;;-
BO-2026-00093;15/01/2026 18:11;Coxipó;Roubo;;;12.796,00
BO-2026-00048;03/01/2026 17:29;centro;Roub.;0;;
BO-2026-00041;03/01/2026 20:35;GRANDE TERCEIRO;LATROCINIO;1;30;-
BO-2026-00096;09/01/2026 19:09;porto;FURTO;;;0
BO-2026-00068;23/01/2026 05:25;PEDRA 90;Lesao corporal;1;59;-
BO-2026-00130;17/01/2026 23:06;coxipó;Furto Qualificado;0;;R$ 27858
;;;;;;
BO-2026-00109;13/01/2026 02:35;COXIPO;furto;;;0,00
BO-2026-00030;05-01-2026 22h32;C.P.A.;FURTO;0;;0,00
BO-2026-00049;23/01/2026 11:11;cpa;Furto Qualificado;0;;0,00
BO-2026-00023;17/01/2026 11:00;Coxipo;FURTO;;;0
BO-2026-00034;03-01-2026 10h01;tijucal;furto;0;;9341,00
BO-2026-00028;17/01/2026 12:24;TIJUCAL;furto;;;
BO-2026-00032;31/01/2026 20:29;tijucal;Furto Qualificado;0;;0,00
BO-2026-00005;28/01/2026 03:59;gde terceiro;Furto ;0;;26393
BO-2026-00036;2026-01-24 13:10;TIJUCAL;FURTO;0;;R$ 3025
BO-2026-00039;10/01/2026 08:55;Pedra 90; Roubo;;;0,00
BO-2026-00066;26/01/2026 18:20;Gde Terceiro;Furto;0;;-
