Ano_Mes,Bairro,Regional,Tipo_Ocorrencia,Ocorrencias,Vitimas,Valor_Apreendido_RS,Tempo_Resposta_Medio_Min
2025-02,Centro,Regional Metropolitana,Homicídio,4,4,0,6.6
2025-02,Centro,Regional Metropolitana,Latrocínio,2,2,3373,6.3
2025-02,Centro,Regional Metropolitana,Roubo,21,1,14027,12.4
2025-02,Centro,Regional Metropolitana,Furto,32,2,27688,23.6
2025-02,Centro,Regional Metropolitana,Tráfico de Drogas,8,0,9070,22.8
2025-02,Centro,Regional Metropolitana,Lesão Corporal,10,9,0,24.8
2025-02,Coxipó,Regional Leste,Homicídio,6,5,0,9.6
2025-02,Coxipó,Regional Leste,Latrocínio,2,2,3881,6.7
2025-02,Coxipó,Regional Leste,Roubo,40,2,41428,27.8
2025-02,Coxipó,Regional Leste,Furto,43,2,62859,13.9
2025-02,Coxipó,Regional Leste,Tráfico de Drogas,15,1,6728,24.0
2025-02,Coxipó,Regional Leste,Lesão Corporal,13,12,0,24.7
2025-02,CPA,Regional Norte,Homicídio,3,3,0,11.4
2025-02,CPA,Regional Norte,Latrocínio,1,1,717,10.3
2025-02,CPA,Regional Norte,Roubo,12,1,18093,26.8
2025-02,CPA,Regional Norte,Furto,16,1,20790,14.3
2025-02,CPA,Regional Norte,Tráfico de Drogas,6,0,3607,12.5
2025-02,CPA,Regional Norte,Lesão Corporal,6,5,0,12.8
2025-02,Pedra 90,Regional Sul,Homicídio,7,6,0,11.0
2025-02,Pedra 90,Regional Sul,Latrocínio,3,3,3556,11.9
2025-02,Pedra 90,Regional Sul,Roubo,45,2,42711,20.5
2025-02,Pedra 90,Regional Sul,Furto,56,3,121928,21.6
2025-02,Pedra 90,Regional Sul,Tráfico de Drogas,22,1,24335,11.4
2025-02,Pedra 90,Regional Sul,Lesão Corporal,20,18,0,21.2
2025-02,Tijucal,Regional Sul,Homicídio,4,4,0,11.1
2025-02,Tijucal,Regional Sul,Latrocínio,2,2,2770,10.3
2025-02,Tijucal,Regional Sul,Roubo,22,1,19398,18.7
2025-02,Tijucal,Regional Sul,Furto,27,1,16083,10.8
2025-02,Tijucal,Regional Sul,Tráfico de Drogas,9,0,6634,19.9
2025-02,Tijucal,Regional Sul,Lesão Corporal,11,10,0,24.6
2025-02,Jardim Leblon,Regional Norte,Homicídio,5,4,0,10.1
2025-02,Jardim Leblon,Regional Norte,Latrocínio,2,2,3206,6.8
2025-02,Jardim Leblon,Regional Norte,Roubo,39,2,59488,12.2
2025-02,Jardim Leblon,Regional Norte,Furto,53,3,58618,15.5
2025-02,Jardim Leblon,Regional Norte,Tráfico de Drogas,17,1,34831,18.2
2025-02,Jardim Leblon,Regional Norte,Lesão Corporal,16,14,0,16.2
2025-02,Porto,Regional Metropolitana,Homicídio,7,6,0,9.9
2025-02,Porto,Regional Metropolitana,Latrocínio,3,3,2727,7.6
2025-02,Porto,Regional Metropolitana,Roubo,43,2,56075,17.7
2025-02,Porto,Regional Metropolitana,Furto,49,2,71203,17.2
2025-02,Porto,Regional Metropolitana,Tráfico de Drogas,22,1,32522,18.4
2025-02,Porto,Regional Metropolitana,Lesão Corporal,16,14,0,25.8
2025-02,Grande Terceiro,Regional Leste,Homicídio,6,5,0,11.9
2025-02,Grande Terceiro,Regional Leste,Latrocínio,3,3,6465,6.4
2025-02,Grande Terceiro,Regional Leste,Roubo,30,2,39181,12.0
2025-02,Grande Terceiro,Regional Leste,Furto,40,2,36459,20.5
2025-02,Grande Terceiro,Regional Leste,Tráfico de Drogas,18,1,18970,11.0
2025-02,Grande Terceiro,Regional Leste,Lesão Corporal,16,14,0,21.6
2025-03,Centro,Regional Metropolitana,Homicídio,3,3,0,10.8
2025-03,Centro,Regional Metropolitana,Latrocínio,1,1,723,8.1
2025-03,Centro,Regional Metropolitana,Roubo,21,1,17237,19.9
2025-03,Centro,Regional Metropolitana,Furto,37,2,18217,10.6
2025-03,Centro,Regional Metropolitana,Tráfico de Drogas,13,1,13132,25.7
2025-03,Centro,Regional Metropolitana,Lesão Corporal,9,8,0,19.9
2025-03,Coxipó,Regional Leste,Homicídio,6,5,0,10.1
2025-03,Coxipó,Regional Leste,Latrocínio,2,2,3729,11.1
2025-03,Coxipó,Regional Leste,Roubo,33,2,50267,21.8
2025-03,Coxipó,Regional Leste,Furto,53,3,88763,22.5
2025-03,Coxipó,Regional Leste,Tráfico de Drogas,19,1,32501,26.1
2025-03,Coxipó,Regional Leste,Lesão Corporal,13,12,0,12.1
2025-03,CPA,Regional Norte,Homicídio,2,2,0,9.9
2025-03,CPA,Regional Norte,Latrocínio,1,1,1519,8.5
2025-03,CPA,Regional Norte,Roubo,15,1,12225,25.2
2025-03,CPA,Regional Norte,Furto,15,1,16360,20.1
2025-03,CPA,Regional Norte,Tráfico de Drogas,6,0,5749,10.9
2025-03,CPA,Regional Norte,Lesão Corporal,5,4,0,25.7
2025-03,Pedra 90,Regional Sul,Homicídio,7,6,0,10.8
2025-03,Pedra 90,Regional Sul,Latrocínio,3,3,4287,10.2
2025-03,Pedra 90,Regional Sul,Roubo,39,2,40789,14.2
2025-03,Pedra 90,Regional Sul,Furto,48,2,93162,26.2
2025-03,Pedra 90,Regional Sul,Tráfico de Drogas,21,1,21442,11.8
2025-03,Pedra 90,Regional Sul,Lesão Corporal,15,14,0,26.1
2025-03,Tijucal,Regional Sul,Homicídio,5,4,0,9.6
2025-03,Tijucal,Regional Sul,Latrocínio,2,2,1083,6.5
2025-03,Tijucal,Regional Sul,Roubo,31,2,47479,12.0
2025-03,Tijucal,Regional Sul,Furto,40,2,24745,20.2
2025-03,Tijucal,Regional Sul,Tráfico de Drogas,12,1,17053,27.1
2025-03,Tijucal,Regional Sul,Lesão Corporal,12,11,0,23.0
2025-03,Jardim Leblon,Regional Norte,Homicídio,7,6,0,7.2
2025-03,Jardim Leblon,Regional Norte,Latrocínio,2,2,3253,7.6
2025-03,Jardim Leblon,Regional Norte,Roubo,32,2,63933,10.7
2025-03,Jardim Leblon,Regional Norte,Furto,40,2,61838,15.2
2025-03,Jardim Leblon,Regional Norte,Tráfico de Drogas,15,1,8289,27.4
2025-03,Jardim Leblon,Regional Norte,Lesão Corporal,15,14,0,16.2
2025-03,Porto,Regional Metropolitana,Homicídio,9,8,0,7.4
2025-03,Porto,Regional Metropolitana,Latrocínio,3,3,5614,10.2
2025-03,Porto,Regional Metropolitana,Roubo,39,2,38279,23.5
2025-03,Porto,Regional Metropolitana,Furto,57,3,106424,21.8
2025-03,Porto,Regional Metropolitana,Tráfico de Drogas,19,1,41445,22.3
2025-03,Porto,Regional Metropolitana,Lesão Corporal,18,16,0,18.4
2025-03,Grande Terceiro,Regional Leste,Homicídio,6,5,0,10.6
2025-03,Grande Terceiro,Regional Leste,Latrocínio,2,2,2084,9.2
2025-03,Grande Terceiro,Regional Leste,Roubo,44,2,72356,13.9
2025-03,Grande Terceiro,Regional Leste,Furto,55,3,85461,10.6
2025-03,Grande Terceiro,Regional Leste,Tráfico de Drogas,19,1,18728,14.6
2025-03,Grande Terceiro,Regional Leste,Lesão Corporal,17,15,0,14.0
2025-04,Centro,Regional Metropolitana,Homicídio,4,4,0,8.9
2025-04,Centro,Regional Metropolitana,Latrocínio,2,2,1732,6.9
2025-04,Centro,Regional Metropolitana,Roubo,24,1,24805,13.2
2025-04,Centro,Regional Metropolitana,Furto,25,1,39630,14.7
2025-04,Centro,Regional Metropolitana,Tráfico de Drogas,9,0,7825,18.1
2025-04,Centro,Regional Metropolitana,Lesão Corporal,10,9,0,21.8
2025-04,Coxipó,Regional Leste,Homicídio,5,4,0,8.9
2025-04,Coxipó,Regional Leste,Latrocínio,2,2,4097,9.6
2025-04,Coxipó,Regional Leste,Roubo,30,2,50508,10.6
2025-04,Coxipó,Regional Leste,Furto,37,2,56591,17.7
2025-04,Coxipó,Regional Leste,Tráfico de Drogas,13,1,17382,10.1
2025-04,Coxipó,Regional Leste,Lesão Corporal,12,11,0,11.0
2025-04,CPA,Regional Norte,Homicídio,2,2,0,10.0
2025-04,CPA,Regional Norte,Latrocínio,1,1,2186,11.1
2025-04,CPA,Regional Norte,Roubo,11,1,16956,14.7
2025-04,CPA,Regional Norte,Furto,14,1,6523,23.1
2025-04,CPA,Regional Norte,Tráfico de Drogas,5,0,9278,25.4
2025-04,CPA,Regional Norte,Lesão Corporal,4,4,0,15.0
2025-04,Pedra 90,Regional Sul,Homicídio,7,6,0,9.5
2025-04,Pedra 90,Regional Sul,Latrocínio,3,3,3872,9.3
2025-04,Pedra 90,Regional Sul,Roubo,50,2,95407,11.2
2025-04,Pedra 90,Regional Sul,Furto,59,3,40398,11.9
2025-04,Pedra 90,Regional Sul,Tráfico de Drogas,17,1,32943,21.3
2025-04,Pedra 90,Regional Sul,Lesão Corporal,20,18,0,27.8
2025-04,Tijucal,Regional Sul,Homicídio,4,4,0,10.3
2025-04,Tijucal,Regional Sul,Latrocínio,2,2,3443,6.2
2025-04,Tijucal,Regional Sul,Roubo,25,1,27252,26.5
2025-04,Tijucal,Regional Sul,Furto,31,2,66666,13.9
2025-04,Tijucal,Regional Sul,Tráfico de Drogas,10,0,20281,18.7
2025-04,Tijucal,Regional Sul,Lesão Corporal,11,10,0,25.0
2025-04,Jardim Leblon,Regional Norte,Homicídio,5,4,0,6.8
2025-04,Jardim Leblon,Regional Norte,Latrocínio,3,3,1796,10.6
2025-04,Jardim Leblon,Regional Norte,Roubo,40,2,75762,21.4
2025-04,Jardim Leblon,Regional Norte,Furto,49,2,40497,21.1
2025-04,Jardim Leblon,Regional Norte,Tráfico de Drogas,14,1,8251,23.5
2025-04,Jardim Leblon,Regional Norte,Lesão Corporal,13,12,0,26.7
2025-04,Porto,Regional Metropolitana,Homicídio,6,5,0,7.4
2025-04,Porto,Regional Metropolitana,Latrocínio,4,4,3535,6.1
2025-04,Porto,Regional Metropolitana,Roubo,50,2,63579,20.0
2025-04,Porto,Regional Metropolitana,Furto,60,3,34418,25.6
2025-04,Porto,Regional Metropolitana,Tráfico de Drogas,19,1,34322,11.0
2025-04,Porto,Regional Metropolitana,Lesão Corporal,18,16,0,24.6
2025-04,Grande Terceiro,Regional Leste,Homicídio,6,5,0,11.7
2025-04,Grande Terceiro,Regional Leste,Latrocínio,2,2,3805,6.3
2025-04,Grande Terceiro,Regional Leste,Roubo,41,2,19632,11.4
2025-04,Grande Terceiro,Regional Leste,Furto,50,2,101533,19.6
2025-04,Grande Terceiro,Regional Leste,Tráfico de Drogas,15,1,27340,12.6
2025-04,Grande Terceiro,Regional Leste,Lesão Corporal,13,12,0,13.5
2025-05,Centro,Regional Metropolitana,Homicídio,4,4,0,10.3
2025-05,Centro,Regional Metropolitana,Latrocínio,2,2,2839,7.3
2025-05,Centro,Regional Metropolitana,Roubo,24,1,25540,21.1
2025-05,Centro,Regional Metropolitana,Furto,28,1,20842,16.5
2025-05,Centro,Regional Metropolitana,Tráfico de Drogas,11,1,19195,14.7
2025-05,Centro,Regional Metropolitana,Lesão Corporal,9,8,0,27.1
2025-05,Coxipó,Regional Leste,Homicídio,6,5,0,11.6
2025-05,Coxipó,Regional Leste,Latrocínio,2,2,3859,11.8
2025-05,Coxipó,Regional Leste,Roubo,33,2,41530,27.3
2025-05,Coxipó,Regional Leste,Furto,34,2,57025,12.2
2025-05,Coxipó,Regional Leste,Tráfico de Drogas,13,1,14407,18.9
2025-05,Coxipó,Regional Leste,Lesão Corporal,16,14,0,11.7
2025-05,CPA,Regional Norte,Homicídio,2,2,0,9.5
2025-05,CPA,Regional Norte,Latrocínio,1,1,1735,9.2
2025-05,CPA,Regional Norte,Roubo,11,1,23550,10.2
2025-05,CPA,Regional Norte,Furto,13,1,7657,23.3
2025-05,CPA,Regional Norte,Tráfico de Drogas,5,0,7453,27.0
2025-05,CPA,Regional Norte,Lesão Corporal,5,4,0,14.4
2025-05,Pedra 90,Regional Sul,Homicídio,6,5,0,11.5
2025-05,Pedra 90,Regional Sul,Latrocínio,3,3,5013,11.9
2025-05,Pedra 90,Regional Sul,Roubo,42,2,45105,17.7
2025-05,Pedra 90,Regional Sul,Furto,53,3,45128,12.2
2025-05,Pedra 90,Regional Sul,Tráfico de Drogas,21,1,10858,20.2
2025-05,Pedra 90,Regional Sul,Lesão Corporal,17,15,0,13.0
2025-05,Tijucal,Regional Sul,Homicídio,4,4,0,11.1
2025-05,Tijucal,Regional Sul,Latrocínio,2,2,3319,9.9
2025-05,Tijucal,Regional Sul,Roubo,28,1,50262,24.8
2025-05,Tijucal,Regional Sul,Furto,27,1,58288,27.9
2025-05,Tijucal,Regional Sul,Tráfico de Drogas,12,1,17465,27.2
2025-05,Tijucal,Regional Sul,Lesão Corporal,12,11,0,24.6
2025-05,Jardim Leblon,Regional Norte,Homicídio,6,5,0,7.3
2025-05,Jardim Leblon,Regional Norte,Latrocínio,2,2,1730,7.4
2025-05,Jardim Leblon,Regional Norte,Roubo,38,2,75056,19.7
2025-05,Jardim Leblon,Regional Norte,Furto,43,2,75783,24.8
2025-05,Jardim Leblon,Regional Norte,Tráfico de Drogas,19,1,29579,17.2
2025-05,Jardim Leblon,Regional Norte,Lesão Corporal,16,14,0,14.8
2025-05,Porto,Regional Metropolitana,Homicídio,8,7,0,6.3
2025-05,Porto,Regional Metropolitana,Latrocínio,3,3,5255,10.9
2025-05,Porto,Regional Metropolitana,Roubo,49,2,99186,23.0
2025-05,Porto,Regional Metropolitana,Furto,66,3,126126,23.2
2025-05,Porto,Regional Metropolitana,Tráfico de Drogas,17,1,7658,19.3
2025-05,Porto,Regional Metropolitana,Lesão Corporal,21,19,0,18.9
2025-05,Grande Terceiro,Regional Leste,Homicídio,5,4,0,6.1
2025-05,Grande Terceiro,Regional Leste,Latrocínio,3,3,3412,10.7
2025-05,Grande Terceiro,Regional Leste,Roubo,39,2,65963,12.5
2025-05,Grande Terceiro,Regional Leste,Furto,46,2,49327,23.6
2025-05,Grande Terceiro,Regional Leste,Tráfico de Drogas,14,1,8557,16.9
2025-05,Grande Terceiro,Regional Leste,Lesão Corporal,16,14,0,17.5
2025-06,Centro,Regional Metropolitana,Homicídio,4,4,0,11.9
2025-06,Centro,Regional Metropolitana,Latrocínio,1,1,1797,9.4
2025-06,Centro,Regional Metropolitana,Roubo,30,2,26717,10.1
2025-06,Centro,Regional Metropolitana,Furto,34,2,71468,10.3
2025-06,Centro,Regional Metropolitana,Tráfico de Drogas,10,0,8894,21.8
2025-06,Centro,Regional Metropolitana,Lesão Corporal,11,10,0,20.1
2025-06,Coxipó,Regional Leste,Homicídio,7,6,0,6.1
2025-06,Coxipó,Regional Leste,Latrocínio,2,2,2692,6.9
2025-06,Coxipó,Regional Leste,Roubo,40,2,25952,27.9
