Num_BO;Data_Hora;Bairro_Regiao;Tipo_Ocorrencia;Qtd_Vitimas;Idade_Vitima;Valor_Apreendido_R$
BO-2026-00070;2026-01-24 00:49:00;CPA;FURTO;0;;0.0
BO-2026-00011;2026-01-04 07:34:00;CPA;LESAO CORPORAL;1;;0.0
BO-2026-00092;2026-01-04 00:00:00;COXIPO;ROUBO;0;;0.0
BO-2026-00120;2026-01-12 06:48:00;CPA;LESAO CORPORAL;1;58;0.0
BO-2026-00046;2026-01-02 22:37:00;CENTRO;TRÁFICO DE DROGAS;0;;17801.0
BO-2026-00054;2026-01-07 14:55:00;CPA;LESAO CORPORAL;2;27;0.0
BO-2026-00105;2026-01-19 21:01:00;CENTRO;TRÁFICO DE DROGAS;0;;0.0
BO-2026-00093;2026-01-15 18:11:00;COXIPO;ROUBO;0;;12796.0
BO-2026-00048;2026-01-03 17:29:00;CENTRO;ROUBO;0;;0.0
BO-2026-00041;2026-01-03 20:35:00;GRANDE TERCEIRO;LATROCINIO;1;30;0.0
BO-2026-00096;2026-01-09 19:09:00;PORTO;FURTO;0;;0.0
BO-2026-00068;2026-01-23 05:25:00;PEDRA 90;LESAO CORPORAL;1;59;0.0
BO-2026-00130;2026-01-17 23:06:00;COXIPO;FURTO;0;;27858.0
BO-2026-00109;2026-01-13 02:35:00;COXIPO;FURTO;0;;0.0
BO-2026-00030;05-01-2026 22h32;CPA;FURTO;0;;0.0
BO-2026-00049;2026-01-23 11:11:00;CPA;FURTO;0;;0.0
BO-2026-00023;2026-01-17 11:00:00;COXIPO;FURTO;0;;0.0
BO-2026-00034;03-01-2026 10h01;TIJUCAL;FURTO;0;;9341.0
BO-2026-00028;2026-01-17 12:24:00;TIJUCAL;FURTO;0;;0.0
BO-2026-00032;2026-01-31 20:29:00;TIJUCAL;FURTO;0;;0.0
BO-2026-00005;2026-01-28 03:59:00;GRANDE TERCEIRO;FURTO;0;;26393.0
BO-2026-00036;2026-01-24 13:10;TIJUCAL;FURTO;0;;3025.0
BO-2026-00039;2026-01-10 08:55:00;PEDRA 90;ROUBO;0;;0.0
BO-2026-00066;2026-01-26 18:20:00;GRANDE TERCEIRO;FURTO;0;;0.0
BO-2026-00067;2026-01-03 06:38:00;CENTRO;LESAO CORPORAL;0;;0.0
BO-2026-00103;2026-01-14 09:11:00;TIJUCAL;ROUBO;0;;0.0
BO-2026-00061;28-01-2026 12h38;TIJUCAL;ROUBO;0;;41544.0
BO-2026-00100;2026-01-01 22:42:00;JARDIM LEBLON;FURTO;0;;21155.0
BO-2026-00001;2026-01-04 11:36:00;COXIPO;LESAO CORPORAL;1;52;0.0
BO-2026-00018;2026-01-26 21:27:00;CPA;LESAO CORPORAL;1;56;0.0
BO-2026-00038;2026-01-01 00:00:00;CPA;FURTO;0;;0.0
BO-2026-00058;2026-01-29 16:30:00;PORTO;FURTO;0;;0.0
BO-2026-00055;12-01-2026 23h46;PEDRA 90;FURTO;0;;10260.0
BO-2026-00004;2026-01-05 21:05:00;TIJUCAL;FURTO;1;;1921.0
BO-2026-00059;2026-01-19 21:52:00;TIJUCAL;FURTO;0;;0.0
BO-2026-00045;2026-01-22 13:34:00;GRANDE TERCEIRO;ROUBO;0;;44746.0
BO-2026-00084;2026-01-26 01:16;TIJUCAL;FURTO;0;;0.0
BO-2026-00113;2026-01-21 22:45;CPA;LESAO CORPORAL;1;43;0.0
BO-2026-00087;2026-01-23 09:39:00;GRANDE TERCEIRO;LESAO CORPORAL;1;25;0.0
BO-2026-00081;2026-01-10 19:06:00;CENTRO;HOMICIDIO;1;61;0.0
BO-2026-00071;2026-01-20 21:35:00;COXIPO;ROUBO;0;;0.0
BO-2026-00085;2026-01-10 21:44:00;COXIPO;TRÁFICO DE DROGAS;0;999;40434.0
BO-2026-00125;2026-01-23 19:36:00;CENTRO;ROUBO;0;;0.0
BO-2026-00035;2026-01-10 17:32:00;PORTO;LESAO CORPORAL;2;47;0.0
BO-2026-00080;2026-01-17 22:19:00;CENTRO;LATROCINIO;3;30;0.0
BO-2026-00078;2026-01-09 23:08;GRANDE TERCEIRO;FURTO;0;;0.0
BO-2026-00029;2026-01-25 04:34:00;PORTO;FURTO;0;;0.0
BO-2026-00117;2026-01-28 12:34;TIJUCAL;FURTO;0;;36661.0
BO-2026-00020;2026-01-27 02:50:00;CENTRO;ROUBO;0;;0.0
BO-2026-00010;2026-01-30 20:30;TIJUCAL;FURTO;0;;0.0
BO-2026-00064;2026-01-05 03:03:00;PEDRA 90;ROUBO;0;;0.0
BO-2026-00128;2026-01-02 21:31:00;CENTRO;LESAO CORPORAL;3;34;0.0
BO-2026-00091;2026-01-06 15:05:00;CPA;FURTO;0;;28837.0
BO-2026-00116;2026-01-22 11:31:00;PEDRA 90;TRÁFICO DE DROGAS;0;;0.0
BO-2026-00007;2026-01-21 19:51:00;TIJUCAL;FURTO;0;;0.0
BO-2026-00089;2026-01-18 10:22;TIJUCAL;FURTO;0;;43870.0
BO-2026-00024;2026-01-02 02:59:00;COXIPO;HOMICIDIO;1;;0.0
BO-2026-00083;2026-01-01 14:07:00;CPA;ROUBO;0;;25278.0
BO-2026-00027;19-01-2026 21h10;JARDIM LEBLON;FURTO;0;0;13239.0
BO-2026-00004;2026-01-05 21:05:00;TIJUCAL;FURTO;0;;1921.0
BO-2026-00094;2026-01-05 14:08;COXIPO;LESAO CORPORAL;2;64;0.0
BO-2026-00033;2026-01-07 06:44;GRANDE TERCEIRO;FURTO;0;;0.0
BO-2026-00040;2026-01-21 03:43;GRANDE TERCEIRO;FURTO;0;;8225.0
BO-2026-00118;2026-01-30 19:07:00;CENTRO;FURTO;0;;0.0
BO-2026-00099;2026-01-07 19:16:00;GRANDE TERCEIRO;TRÁFICO DE DROGAS;0;;0.0
BO-2026-00051;2026-01-09 21:13:00;JARDIM LEBLON;FURTO;0;;18232.0
BO-2026-00104;2026-01-04 19:07:00;CENTRO;FURTO;0;;0.0
BO-2026-00079;2026-01-22 20:44:00;COXIPO;ROUBO;0;;0.0
BO-2026-00037;2026-01-12 04:51:00;CENTRO;FURTO;0;;40011.0
BO-2026-00014;2026-01-13 20:04:00;PEDRA 90;FURTO;0;;0.0
BO-2026-00112;2026-01-30 18:59:00;TIJUCAL;ROUBO;0;;0.0
BO-2026-00095;2026-01-14 21:03:00;GRANDE TERCEIRO;LATROCINIO;0;;0.0
BO-2026-00069;2026-01-02 15:30:00;GRANDE TERCEIRO;FURTO;0;;0.0
BO-2026-00047;2026-01-11 00:50;COXIPO;TRAFICO DE DROGAS;0;;0.0
BO-2026-00015;2026-01-30 20:07:00;GRANDE TERCEIRO;HOMICIDIO;1;57;0.0
BO-2026-00110;2026-01-03 10:55;COXIPO;FURTO;0;;0.0
BO-2026-00086;2026-01-06 20:39:00;CPA;ROUBO;0;;0.0
BO-2026-00123;24-01-2026 20h54;PORTO;LESAO CORPORAL;1;67;0.0
BO-2026-00082;2026-01-20 22:33:00;GRANDE TERCEIRO;LESAO CORPORAL;0;0;0.0
BO-2026-00016;2026-01-05 17:35;JARDIM LEBLON;ROUBO;0;;30369.0
BO-2026-00008;2026-01-26 21:38:00;TIJUCAL;FURTO;0;999;0.0
BO-2026-00062;2026-01-04 20:57:00;CPA;ROUBO;0;;0.0
BO-2026-00025;2026-01-30 13:55:00;GRANDE TERCEIRO;FURTO;0;;28226.0
BO-2026-00024;2026-01-02 02:59:00;COXIPO;HOMICIDIO;0;;0.0
BO-2026-00009;2026-01-30 07:58:00;GRANDE TERCEIRO;FURTO;0;;0.0
BO-2026-00107;2026-01-31 17:49:00;GRANDE TERCEIRO;TRAFICO DE DROGAS;0;;41953.0
BO-2026-00074;31-01-2026 21h57;GRANDE TERCEIRO;LESAO CORPORAL;2;54;0.0
BO-2026-00026;2026-01-02 19:49;CENTRO;FURTO;0;;18743.0
BO-2026-00021;2026-01-28 05:36:00;PEDRA 90;FURTO;0;;7488.0
BO-2026-00011;2026-01-04 07:34:00;CPA;LESAO CORPORAL;1;;0.0
BO-2026-00106;2026-01-07 22:38:00;CPA;FURTO;0;;17829.0
BO-2026-00072;2026-01-26 03:48:00;PORTO;LESAO CORPORAL;0;;0.0
BO-2026-00119;2026-01-04 09:07:00;PEDRA 90;ROUBO;0;;0.0
BO-2026-00090;2026-01-14 16:47:00;JARDIM LEBLON;FURTO;0;;16291.0
BO-2026-00101;2026-01-20 15:20:00;COXIPO;FURTO;0;;0.0
BO-2026-00124;2026-01-09 21:47:00;JARDIM LEBLON;TRÁFICO DE DROGAS;0;;0.0
BO-2026-00122;2026-01-24 21:11;JARDIM LEBLON;TRÁFICO DE DROGAS;0;;0.0
BO-2026-00003;2026-01-12 23:05;PORTO;LESAO CORPORAL;3;46;0.0
BO-2026-00060;2026-01-07 20:55:00;PEDRA 90;ROUBO;0;;0.0
BO-2026-00057;2026-01-15 06:58:00;CPA;FURTO;0;;0.0
BO-2026-00075;2026-01-10 02:30:00;TIJUCAL;FURTO;0;;0.0
BO-2026-00129;2026-01-15 20:28:00;CPA;ROUBO;0;;0.0
BO-2026-00019;2026-01-10 07:33:00;GRANDE TERCEIRO;ROUBO;0;;0.0
BO-2026-00098;2026-01-08 19:16:00;CPA;FURTO;0;;0.0
BO-2026-00012;2026-01-04 18:42:00;TIJUCAL;TRÁFICO DE DROGAS;0;;44109.0
BO-2026-00088;2026-01-28 14:19:00;GRANDE TERCEIRO;FURTO;0;;24886.0
BO-2026-00065;2026-01-15 15:04:00;COXIPO;FURTO;0;999;0.0
BO-2026-00121;2026-01-27 00:00:00;COXIPO;FURTO;0;;0.0
BO-2026-00056;2026-01-02 20:34:00;TIJUCAL;LESAO CORPORAL;1;66;0.0
BO-2026-00053;2026-01-22 11:06:00;CPA;ROUBO;0;;17174.0
BO-2026-00017;2026-01-02 18:43:00;CENTRO;LESAO CORPORAL;1;62;0.0
BO-2026-00127;2026-01-09 20:35:00;CPA;FURTO;0;;0.0
BO-2026-00011;2026-01-04 07:34:00;CPA;LESAO CORPORAL;1;;0.0
BO-2026-00006;2026-01-19 08:30:00;CENTRO;ROUBO;0;;34589.0
BO-2026-00115;2026-01-03 21:20:00;CENTRO;FURTO;0;;0.0
BO-2026-00031;2026-01-02 18:55:00;PEDRA 90;HOMICIDIO;1;17;0.0
BO-2026-00073;2026-01-09 06:07;PEDRA 90;LESAO CORPORAL;3;67;0.0
BO-2026-00102;2026-01-13 19:01:00;GRANDE TERCEIRO;TRÁFICO DE DROGAS;0;;0.0
BO-2026-00126;2026-01-01 19:45:00;TIJUCAL;LESAO CORPORAL;1;31;0.0
BO-2026-00044;2026-01-08 11:25:00;COXIPO;ROUBO;0;;0.0
BO-2026-00114;2026-01-04 09:44:00;PORTO;FURTO;0;;0.0
BO-2026-00043;2026-01-05 14:17:00;CPA;FURTO;0;;0.0
BO-2026-20200;31/02/2026 09:15;CENTRO;ROUBO;1;34;8000.0
BO-2026-00063;2026-01-21 21:33:00;TIJUCAL;FURTO;0;;19116.0
BO-2026-00108;2026-01-09 23:18;CPA;FURTO;0;;0.0
BO-2026-00022;2026-01-09 18:48:00;TIJUCAL;ROUBO;0;;0.0
